ICAO	ВК	Часть	Вид	Кандидат	Аэропорт	Пассажиропоток	Груз, тонн	Почта, тонн	Цена ТС-1, руб	Категория	Учитывать	Имя
USTR	3	ОЧП	УА	True	Тюмень (Рощино)	1822909	3946.0	888.9	61680	1	True	USTR | TJM | Тюмень | Рощино
UWLL	3	ОЧП	УА	True	Ульяновск (Баратаевка)	0	0.0	0.0	64227	1	True	UWLL | ULV | Ульяновск | Баратаевка
UHPK	3	ОЧП	АН	False	Усть-Камчатск	1248	0.22	мар.81	0	2	True	UHPK | Усть-Камчатск
UITT	3	ОЧП	АН	True	Усть-Кут	83521	475.52	28.22	63295	1	True	UITT | UKX | Усть-Кут | Усть-Кут
UEMU	3	ОЧП	АН	False	Усть-Мая	10676	79.6	30.апр	0	2	True	UEMU | UMS | Усть-Мая
UEMT	3	ОЧП	АН	False	Усть-Нера	12484	33.65	66.08	0	2	True	UEMT | USR | Усть-Нера
UHPU	3	ОЧП	АН	False	Усть-Хайрюзово	3696	15.май	18.31	0	3	True	UHPU | Усть-Хайрюзово
UWUU	3	ОЧП	УА	False	Уфа	2794407	4390.83	787.43	64200	1	True	UWUU | UFA | Уфа
UEMH	3	ОЧП	АН	False	Хандыга (Теплый Ключ)	1889	14.76	окт.24	0	2	True	UEMH | KDY | Хандыга | Теплый Ключ
USHH	3	ОЧП	УА	True	Ханты-Мансийск	254537	597.79	332.46	62312	1	True	USHH | HMA | Ханты-Мансийск
UHNH	3	ОЧП	АН	False	Херпучи	730	мар.28	апр.39	0	3	True	UHNH | Херпучи
UIAR	3	ОЧП	АН	True	Чара	9035	43.67	16.апр	0	1	True	UIAR | Чара
UWKS	3	ОЧП	УА	True	Чебоксары	251780	0.0	0.0	65781	1	True	UWKS | CSY | Чебоксары
ULWC	3	ОЧП	УА	True	Череповец	149068	30.86	0.0	52500	1	True	ULWC | CEE | Череповец
UHHY	3	ОЧП	АН	False	Чумикан	3765	28.авг	16.64	0	3	True	UHHY | Чумикан
UHSK	3	ОЧП	АН	True	Шахтерск	7939	июн.54	0.0	0	1	True	UHSK | EKS | Шахтерск
HC3Y	3	ОЧП	АН	False	Шикотан	0	0.0	0.0	0	4	True	HC3Y | Малокурильское
UHBP	3	ОЧП	АН	False	Экимчан	385	2.003	0.0	0	2	True	UHBP | Экимчан | Экимчан
URWI	3	ОЧП	УА	True	Элиста	10898	авг.16	0.02	80165	1	True	URWI | ESL | Элиста
UHSM	3	ОЧП	АН	True	Южно-Курильск (Менделеево)	24348	65.59	25.июл	70897	1	True	UHSM | DEE | Южно-Курильск | Менделеево
UHSS	3	ОЧП	УА	True	Южно-Сахалинск (Хомутово)	985211	10556.14	1251.41	79460	1	True	UHSS | UUS | Южно-Сахалинск | Хомутово
UEEE	3	ОЧП	УА	True	Якутск	902463	10858.05	2225.73	73227	1	True	UEEE | YKS | Якутск
UUDL	3	ОЧП	УА	True	Ярославль (Туношна)	23817	5811.95	0.0	56500	1	True	UUDL | IAR | Ярославль | Туношна
UHSI	3	ОЧП	АН	True	Ясный (о. Итуруп)	24443	61.28	22.44	0	1	True	UHSI | ITU | Итуруп
