ICAO,Часть,Вид,Кандидат,Аэропорт,Пассажиропоток,"Груз, тонн","Почта, тонн","Цена ТС-1, руб",Категория,Агломерация,ППмакс,Обслуживание,Взлётпос,Пользование,Безопасность,Дата
UESK,ОЧП,АН,False,Среднеколымск,21468,784.63,72.89,0,2,5128,8205.0,505.2,2928.0,240.0,1344.0,8 октября 2019
URMT,ОЧП,УА,True,Ставрополь (Шпаковское),356210,794.0,437.0,74759,1,1821737,2914779.0,128.0,495.0,68.0,322.0,14 декабря 2015
UENS,ОЧП,АН,False,Сунтар,11303,21.55,58.5,0,2,22721,36354.0,,,,,
USRR,ОЧП,УА,True,Сургут,1721044,3579.3,651.0,62110,1,735616,1176986.0,251.0,666.0,73.05,438.0,30 ноября 2015
UUYY,ОЧП,УА,True,Сыктывкар,511582,733.83,293.51,0,1,345351,552562.0,126.0,566.0,57.0,153.0,7 августа 2015
UIKG,ОЧП,АН,False,Таксимо,12474,32.02,9.78,0,2,11186,17898.0,196.0,1624.0,95.0,700.0,17 января 2019
UECT,ОЧП,АН,True,Талакан,265485,816.71,0.0,75529,1,8984,14374.0,750.0,3885.0,160.0,1940.0,11 августа 2015
UUOT,ОЧП,УА,True,Тамбов (Донское),31294,0.0,0.0,58433,1,964067,1542507.0,,,,,
USDS,ОЧП,АН,False,Тарко-Сале,14412,457.3,25.12,62971,2,63618,101789.0,208.0,2466.0,42.0,1466.0,17 января 2019
UHPG,ОЧП,АН,False,Тигиль,4047,14.17,23.51,0,2,1974,3158.0,,,,,
UEST,ОЧП,АН,True,Тикси,17253,517.8,74.28,0,1,5124,8198.0,505.2,2928.0,240.0,1344.0,8 октября 2019
UHPT,ОЧП,АН,False,Тиличики,32928,65.47,254.82,0,3,2438,3901.0,,,,,
USDO,ОЧП,АН,False,Толька,7872,71.92,16.17,0,2,1892,3027.0,,,,,
UNTT,ОЧП,УА,True,Томск (Богашево),617717,1896.32,418.84,64867,1,1142842,1828547.0,175.0,662.0,82.0,456.0,25 августа 2016
UNIT,ОЧП,АН,True,Тура (Горный),2066,10.22,5.65,63305,1,5773,9237.0,286.0,2432.0,60.0,481.0,14 апреля 2017
UOTT,ОЧП,АН,True,Туруханск,19684,564.23,52.03,62256,1,5334,8534.0,633.0,2109.0,218.0,875.0,14 января 2019
UHBW,ОЧП,АН,True,Тында,5794,0.85,0.0,65833,1,37553,60085.0,518.5,2113.3,275.3,942.4,11 января 2019
USTR,ОЧП,УА,True,Тюмень (Рощино),1822909,3946.0,888.9,61680,1,1100025,1760040.0,220.8,793.2,59.64,558.0,18 октября 2019
UIUU,ОЧП,УА,True,Улан-Удэ (Мухино),259585,2260.3,268.51,64759,1,681614,1090582.0,127.0,530.0,53.0,299.0,18 января 2019
UWLL,ОЧП,УА,True,Ульяновск (Баратаевка),0,0.0,0.0,64227,1,1272909,2036654.0,209.0,400.0,71.0,316.0,15 декабря 2015
UUYS,ОЧП,АН,True,Усинск,158657,451.23,36.14,62624,1,82991,132786.0,144.0,1118.0,57.0,312.0,7 августа 2015
UHPK,ОЧП,АН,False,Усть-Камчатск,1248,0.22,3.81,0,2,3730,5968.0,292.0,1838.0,213.0,1245.0,15 января 2019
UEBT,ОЧП,АН,False,Усть-Куйга,4039,248.52,9.35,0,2,1819,2910.0,,,,,
UITT,ОЧП,АН,True,Усть-Кут,83521,475.52,28.22,63295,1,50236,80378.0,301.0,1904.0,80.0,567.0,18 октября 2019
