ICAO,ВК,Часть,Вид,Кандидат,Аэропорт,Пассажиропоток,"Груз, тонн","Почта, тонн","Цена ТС-1, руб",Категория,Учитывать
UWKS,3,ОЧП,УА,True,Чебоксары,251780,0.0,0.0,65781,1,True
USCC,1,ОЧП,УА,True,Челябинск (Баландино),1469769,2948.63,957.92,61945,1,True
ULWC,3,ОЧП,УА,True,Череповец,149068,30.86,0.0,52500,1,True
UESS,2,ОЧП,АН,False,Черский,6829,148.87,42.43,0,1,True
UIAA,1,ОЧП,УА,True,Чита (Кадала),358674,3290.69,336.09,64584,1,True
UESO,2,ОЧП,АН,False,Чокурдах,6592,253.0,22.25,0,2,True
UHHY,3,ОЧП,АН,False,Чумикан,3765,28.08,16.64,0,3,True
UHSK,3,ОЧП,АН,True,Шахтерск,7939,6.54,0.0,0,1,True
HC3Y,3,ОЧП,АН,False,Шикотан,0,0.0,0.0,0,4,True
UHBP,3,ОЧП,АН,False,Экимчан,385,2.003,0.0,0,2,True
URWI,3,ОЧП,УА,True,Элиста,10898,8.16,0.02,80165,1,True
UHSM,3,ОЧП,АН,True,Южно-Курильск (Менделеево),24348,65.59,25.7,70897,1,True
UHSS,3,ОЧП,УА,True,Южно-Сахалинск (Хомутово),985211,10556.14,1251.41,79460,1,True
UEEE,3,ОЧП,УА,True,Якутск,902463,10858.05,2225.73,73227,1,True
USMQ,2,ОЧП,АН,True,Ямбург,62419,1.31,0.0,69916,1,True
UUDL,3,ОЧП,УА,True,Ярославль (Туношна),23817,5811.95,0.0,56500,1,True
UHSI,3,ОЧП,АН,True,Ясный (о. Итуруп),24443,61.28,22.44,0,1,True
ZFC7,1,ЗЧП,БН,True,Сухум (Бабушара),0,0,0,72000,1,True
UKCC,1,ЗЧП,БН,True,Донецк,0,0,0,0,1,False
UKCW,1,ЗЧП,БН,True,Луганск,0,0,0,0,1,False
UKDE,1,ЗЧП,БН,True,Запорожье (Мокрая),0,0,0,0,1,False
UKOH,1,ЗЧП,БН,True,Херсон (Чернобаевка),0,0,0,0,1,False
UKCM,1,ЗЧП,БН,True,Мариуполь,0,0,0,0,1,False
